Site ID,Business Type,Notes,LicenseeName,DBA,Address,Address_2,City,State,Zip Code
26349,Restaurant,,Yancey's Gastropub & Brewery LLC,Yancey's Gastropub & Brewery,128 S Public Sq,,Glasgow,KY,42141-0000
1445,Package Store,,Party Town LLC,Party Town,6823 Burlington Pike,,Florence,KY,41042-0000
23704,Microbrewery,,Rooster Brewing Inc,Rooster Brewing,420 Main St,,Paris,KY,40361-1813
26314,Microbrewery,,MCB LLC,Gypsy Run Brewery,131 N 4th St,,Danville,KY,40422-0000
15341,Microbrewery,,Beer Engine LLC,Beer Engine,107 Larrimore Ln,,Danville,KY,40422-1674
26043,Microbrewery,,Alexandria Brewing Company LLC,Alexandria Brewing Company,7926 Alexandria Pike,Suite 1,Alexandria,KY,41001-0000
20090,Microbrewery,,Braxton Brewing Company LLC,Braxton Brewing,18 Distillery Way,,Newport,KY,41071-0000
9800,Restaurant,,Newport Brau Llc,Hofbrauhaus Newport,200 E 3rd St,,Newport,KY,41071-0000
23263,Microbrewery,,Wooden Cask Brewing Company LLC,Wooden Cask Brewing Company,629 York St,,Newport,KY,41071-1815
22338,Microbrewery,,Darkness Brewing LLC,Darkness Brewing,224 Fairfield Ave,,Bellevue,KY,41073-1041
23585,Microbrewery,,Hopkinsville Brewing Company LLC,Hopkinsville Brewing Company,102 E 5th St,,Hopkinsville,KY,42240-3306
27256,Microbrewery,,TS Montgomery LLC,Abettor Brewing Company,301 W Lexington Ave,,Winchester,KY,40391-0000
23407,Microbrewery,,Mirror Twin Brewing LLC,Mirror Twin Brewing Co.,723 & 725 National Ave,,Lexington,KY,40502-1431
22333,Microbrewery,,Pivot Inc,Pivot Brewing Company,1400 Delaware Ave,,Lexington,KY,40505-4010
25418,Restaurant,,Rooster Brewing Inc,Oscar Diggs,157 N Limestone,,Lexington,KY,40507-0000
23312,Microbrewery,,West Sixth Brewing Company LLC,The West Sixth Greenroom,109 W Main St,,Lexington,KY,40507-1320
16012,Storage / Warehouse,,Alltech's Beverage Division LLC,Alltech's Lexington Brewing & Distilling Company,475 Angliana Ave,,Lexington,KY,40508-0000
20853,Microbrewery,,Empyreal Artisan Ales LLC,Ethereal Brewing,1224 Manchester St Ste 120,,Lexington,KY,40508-0000
27199,Microbrewery,,Fusion Brewing LLC,Fusion Brewing,1170 Manchester St Ste 150,,Lexington,KY,40508-0000
27497,Microbrewery,,Wise Bird Cider Co LLC,Wise Bird Cider Co,1170 Manchester St Ste 140,,Lexington,KY,40508-0000
19061,Microbrewery,,New Republic Llc,Chase Tap Room/Chase Brewing Company,266 Jefferson St,,Lexington,KY,40508-1217
18561,Microbrewery,,Blue Stallion Brewing LLC,Blue Stallion Brewing Company,610 W Third St,,Lexington,KY,40508-1243
16891,Microbrewery,,West Sixth Brewing Company LLC,West Sixth Brewing,501 W Sixth St,,Lexington,KY,40508-1341
23689,Microbrewery,,Rock House Brewing LLC,Rock House Brewing LLC,119 Luigart Ct,,Lexington,KY,40508-1686
289,Distiller,,Alltech's Beverage Division LLC,Alltech's Lexington Brewing and Distilling Co.,401 Cross St,,Lexington,KY,40508-2806
16520,Microbrewery,,Country Boy Brewing LLC,Country Boy Brewing,436 Chair Ave,,Lexington,KY,40508-3106
16762,Restaurant,,Lizzie B's Cafe LLC,Lizzie B's Cafe/23 Brewing Company,2010 KY Route 321,,Prestonsburg,KY,41653-9103
26749,Microbrewery,,Capitol Brewing Company PBC,Sig Luscher Brewery,221 Mero St,,Frankfort,KY,40601-0000
26007,Microbrewery,,West Sixth Brewing Company LLC,West Sixth Farm,4495 Shadrick Ferry Rd,,Frankfort,KY,40601-0000
25086,Microbrewery,,Flywheel Brewing LLC,Flywheel Brewing,218 S Mulberry St Suite 103,,Elizabethtown,KY,42701-0000
24188,Bar with Package Sales () beer,,Maiden City Brewing Company LLC,Maiden City Brewing,123 E Pike St,,Cynthiana,KY,41031-1527
26122,Microbrewery,,Henderson Brewing Co LLC,Henderson Brewing Co,737 2nd St,,Henderson,KY,42420-0000
9149,Microbrewery,,Against the Grain LLC,Against the Grain,401 East Main St,,Louisville,KY,40202-0000
8482,Microbrewery,,Goodwood Brewing Company LLC,Goodwood Brewing Company,636 E Main St,,Louisville,Ky,40202-0000
15359,Restaurant,,Bluegrass Brewing Company Inc,Bluegrass Brewing Company,300 W Main St,,Louisville,KY,40202-2916
17091,Restaurant,,GB Acquisition Inc,Gordon Biersch Brewery Restaurant,400 S 4th Street,,Louisville,KY,40202-3420
20973,Microbrewery,,Against the Grain LLC,Against the Grain,1800 Northwestern Pkwy,,Louisville,KY,40203-1048
25785,Microbrewery,,JKM Ventures LLC,Falls City Brewing Co,901 E Liberty St,,Louisville,KY,40204-0000
10501,Microbrewery,,Vegan Idol LLC,False Idol Independent Brewers,1025 Barret Ave,,Louisville,KY,40204-0000
23706,Microbrewery,,Mile Wide Beer Company LLC,Mile Wide Beer Company,636 Barret Ave,,Louisville,KY,40204-0000
23530,"Restaurant, Microbrewery, Bar",,Hopcat-Louisville LLC,Hopcat,1064 Bardstown Rd,,Louisville,KY,40204-1318
432,Restaurant,,Allgeier Brewing Co Inc,Cumberland Brews,1576 Bardstown Rd,,Louisville,KY,40205-1154
20404,Microbrewery,,Great Flood Brewing Company LLC,Great Flood Brewing Company,2120 Bardstown Rd,,Louisville,KY,40205-1916
21742,Microbrewery,,Muse Brewing Company LLC,Akasha Brewing Company,909 E Market St Ste 700,,Louisville,KY,40206-1688
16541,Microbrewery,,Apocalypse LLP,Apocalypse LLP,1612 Mellwood Ave,,Louisville,KY,40206-1752
23288,Microbrewery,,Old Louisville Brewhouse LLC,Old Louisville Brewery,625 W Magnolia Ave,,Louisville,KY,40208-2239
25073,Microbrewery w/ Bar & Beer Package Sales,,Gravely Brewing LLC,Gravely Brewing Co.,514 Baxter Ave,,Louisville,KY,40214-0000
21379,Microbrewery,,Beer Engine LLC,Monnik Beer Company,1036 E Burnett Ave,,Louisville,KY,40217-1206
23726,Microbrewery,,Holsopple Brewing LLC,Holsopple Brewing,8023 Catherine Ln Unit 105,,Louisville,KY,40222-4793
4819,Bar with Package Sales () beer,,Third Turn Brewing LLC,3rd Turn Brewing,10408-10414 Watterson Tr,,Jeffersontown,KY,40299-0000
4804,Restaurant,,Bouquet Restaurant LLC,Bouquet Restaurant,519 Main St,,Covington,KY,41011-0000
21492,Microbrewery,,Braxton Brewing Company LLC,Braxton Brewing Company,27 W 7th St,,Covington,KY,41011-2301
17756,Microbrewery,,Gourmet Renee LLC,BIRCUS Brewing Co.,322-326 Elm St,,Ludlow,KY,41016-1451
27858,Microbrewery,,Dreaming Creek Brewery LLC,Dreaming Creek Brewery LLC,121 N Main St,,London,KY,40741-0000
25613,Microbrewery,,Dreaming Creek Brewery LLC,Dreaming Creek Brewery,109 E Irvine St,,Richmond,KY,40475-0000
27909,Microbrewery,,Maysville Brewing Company LLC,Maysville Brewing Company,8 W 2nd St Unit 1,,Maysville,KY,41056-0000
20999,Microbrewery,,Dry Ground Brewing Company LLC,Dry Ground Brewing Company,3121 Broadway St,,Paducah,KY,42001-0000
21223,Microbrewery,,Paducah Brewing Company,Paducah Beer Werks,301 N 4th St,,Paducah,KY,42001-0753
23474,Microbrewery,,Lemons Mill Brewery LLC,Lemons Mill Brewery LLC,166 Marimon Ave,,Harrodsburg,KY,40330-0000
24539,Bar with Package Sales () beer,,Third Turn Brewing LLC,3rd Turn Brewing,6300 Old Lagrange Rd,,Crestwood,KY,40014-9461
24613,Distiller - NQ3 by the drink,,Alltech's Beverage Division LLC,Dueling Barrels Brewing Company,745 Hambley Blvd,,Pikeville,KY,41501-0000
23042,Microbrewery,,Two Pulaskis LLC,Jarfly Brewing Company,103 W Mount Vernon St,,Somerset,KY,42501-0000
17941,Bar with Package Sales () beer,,Main Street's Wine & Spirits Inc,Tap on Main,601A N Main St,,Somerset,KY,42501-0000
24213,Microbrewery,,Country Boy Brewing LLC,Country Boy Brewing,101 Innovation Way,,Georgetown,KY,40324-0000
18709,Microbrewery,,My Old Kentucky Foam LLC,My Old Kentucky Foam,149-151 E Main St,,Georgetown,KY,40324-1763
27563,Microbrewery,,Old Louisville Brewhouse LLC,The Barrel Rooms,622 Main St,,Shelbyville,KY,40065-0000
24942,Bar with Package Sales () beer,,Blue Holler Brew Supplies LLC,Blue Holler Brew Supplies,1266 Us 31w Byp,,Bowling Green,KY,42101-0000
12448,Microbrewery,,White Squirrel Brewery LLC,White Squirrel Brewery,871 Broadway Ave,,Bowling Green,KY,42101-0000
27180,Microbrewery,,Versailles Brewing Company LLC,"Versailles Brewing Company, LLC",513 Marsailles Rd Ste B,,Versailles,KY,40383-0000
9107,Brewer,,Brown-Forman Distillery Inc,Jack Daniel's Beverage Company,2921 Dixie Hwy,,Louisville,KY,40216-5245
16658,Distiller,Class A,Campari America LLC,Wild Turkey Distillery,1417 Versailles Rd,,Lawrenceburg,KY,40342-9624
5492,Distiller,Class A,Four Roses Distillery LLC,Four Roses Distillery,1224 Bonds Mill Rd #327,,Lawrenceburg,KY,40342-9734
21357,Distiller,Class A,Wilderness Trace Distillery LLC,Wilderness Trail Distillery,4095 Lebanon Rd,,Danville,KY,40422-9654
6398,Distiller,Class A,Jim Beam Brands Co,Jim Beam American Outpost,526 Happy Hollow Road,,Clermont,KY,40110-0000
20967,Storage / Warehouse,Class A,New Riff Distilling LLC,New Riff Distilling,1050 Lowell St,,Newport,KY,41071-0000
17625,Distiller,Class A,New Riff Distilling LLC,New Riff Distilling,24 Distillery Way,,Newport,KY,41071-0000-0000
21269,Distiller,Class A,TerrePURE Kentucky Distillers Inc,O.Z. Tyler Distillery,10 Distillery Rd,,Owensboro,KY,42301-0000
5008,Distiller,Class A,Sazerac Distillers LLC,The Glenmore Distillery,2001 E 4th St,,Owensboro,KY,42303-0000
289,Distiller,Class A,Alltech's Beverage Division LLC,Alltech's Lexington Brewing and Distilling Co.,401 Cross St,,Lexington,KY,40508-2806
4649,Distiller,Class A,Age International Inc,Age International Inc,Leestown Rd,,Frankfort,KY,40601-0000
5165,Distiller,Class A,Jim Beam Brands Co,Jim Beam Brands Co,Georgetown Rd,,Frankfort,KY,40601-0000
6361,Distiller,Class A,Buffalo Trace Distillery Inc,Buffalo Trace Distillery,113 Great Buffalo Trce,,Frankfort,KY,40601-2091
25213,Distiller,Class A,Patriot Brands LLC,Six Mile Creek Distillery,12606 Castle Hwy,,Pleasureville,KY,40057-0000
22325,Distiller,Class A,Jim Beam Brands Co,Jim Beam Brands Co,404 S 4th St,,Louisville,KY,40202-0000
23412,Distiller,Class A,Louisville Distilling Company LLC,Louisville Spirits Group,500 E Main St,,Louisville,KY,40202-0000
26132,Distiller,Class A,Brown-Forman Distillery Inc,Old Forester Distilling Co,117 W Main St,,Louisville,KY,40202-0000
21545,Distiller,Class A,Kentucky Peerless Distilling Company LLC,Kentucky Peerless Distilling Company LLC,120 N 10th St,,Louisville,KY,40202-2610
19355,Distiller,Class A,Heaven Hill Distilleries Inc,The Evan Williams Bourbon Experience,528 W Main St,,Louisville,KY,40202-2920
19974,Distiller,Class A,Copper & Kings American Brandy Company,Copper & Kings American Brandy Company,1121 E Washington St,,Louisville,KY,40206-0000
25614,Distiller,Class A,Rabbit Hole Spirits LLC,Rabbit Hole Distilling,711 East Jefferson St,,Louisville,KY,40206-0000
4093,Distiller,Class A,Brown-Forman Distillery Inc,Brown-Forman Corp,850 Dixie Hwy,,Louisville,KY,40210-0000
5891,Distiller,Class A,Heaven Hill Distilleries Inc,Heaven Hill Distilleries Inc,1701 W Breckenridge St,,Louisville,KY,40210-1210
4996,Distiller,Class A,Diageo Americas Supply Inc,Diageo Americas Supply Inc,3860 Fitzgerald Rd,,Louisville,KY,40216-0000
18315,Distiller,Class A,Michters Distillery LLC,Michters Distillery,2351 New Millennium Dr,Lots 3 & 4 Block 3281,Louisville,KY,40216-5161
4101,Distiller,Class A,Brown-Forman Distillery Inc,"Brown-Forman Distillery, Inc.",2921 Dixie Hwy,,Louisville,KY,40216-5245
6474,Distiller,Class A,Maker's Mark Distillery Inc,Maker's Mark Distillery Inc,3350 Burks Spring Rd,,Loretto,KY,40037-0000
4086,Distiller,Class A,Sazerac Distillers LLC,Barton 1792 Distillery,300 Barton Rd,,Bardstown,KY,40004-0000
4102,Distiller,Class A,Heaven Hill Distilleries Inc,Heaven Hill Inc,1064 Loretto Rd,,Bardstown,KY,40004-0000
25572,Distiller,Class A,Lux Row Distillers LLC,Lux Row Distillers,3050 E John Rowan Blvd,,Bardstown,KY,40004-0000
23307,Distiller,Class A,The Bardstown Bourbon Company LLC,"The Bardstown Bourbon Company, LLC",1500 Parkway Dr,,Bardstown,KY,40004-0000-0000
4490,Distiller,Class A,Kentucky Bourbon Distillers LTD.,"Kentucky Bourbon Distillers, Ltd.",1869 Loretto Rd,,Bardstown,KY,40004-2200
5491,Distiller,Class A,Four Roses Distillery LLC,Four Roses Distillery Llc,624 Lotus Rd Highway 1604,,Coxs Creek,KY,40013-0000
5166,Distiller,Class A,Jim Beam Brands Co,Jim Beam Brands Co,1600 Lebanon Junction Rd,,Boston,KY,40107-8550
19473,Distiller,Class A,Copperhead Distillery Company,Kentucky Artisan Distillery,6230 Old Lagrange Rd,,Crestwood,KY,40014-9550
21583,Distiller,Class A,Diageo Americas Supply Inc,Diageo Americas Supply Inc,3900 Benson Pike,,Shelbyville,KY,40065-0000
5127,Distiller,Class A,Brown-Forman Distillery Inc,Woodford Reserve Distillers Company,7855 McCracken Pike,,Versailles,KY,40383-0000
21177,Distiller,Class A,Peristyle LLC,Castle & Key,4445 Mccracken Pike,,Frankfort,KY,40601-8233
21945,Distiller,Class B,Boone County Distilling Company LLC,Boone County Distilling Company,10601 Toebben Dr,,Independence,KY,41051-0000
23860,Distiller - NQ3 by the drink,Class B,Buchanan Griggs Inc,Hartfield & Co Distillery,108 E 4th St,,Paris,KY,40361-1938
26075,Distiller,Class B,Ambrabev LLC,The Still,522 Techwood Dr,,Danville,KY,40422-0000
11693,Small Farm Winery,Class B,River Horse Inc,Baker-Bird Winery,4465 Augusta Chatam Road,,Augusta,KY,41002-0000
22970,Distiller,Class B,Crooked Tail Distilling Co LLC,Crooked Tail Distilling Co LLC,106 E Washington St,,Princeton,KY,42445-2250
21209,Distiller,Class B,Stillworks LLC,Casey Jones Distillery,2813 Witty Ln,,Hopkinsville,KY,42240-0000
14406,Distiller,Class B,MB Roland Distillery Inc,MB Roland Distillery,137 Barkers Mill Rd,,Pembroke,KY,42266-9437
20498,Distiller,Class B,Route 52 Moonshine LLC,"Route 52 Moonshine, LLC",465 Beattyville Rd,,Irvine,KY,40336-0000
13575,Distiller,Class B,Woodshed Beverage LLC,Barrel House Distilling Company,1200 Manchester St,Bldg 9,Lexington,KY,40508-0000
25456,Distiller,Class B,James Pepper Distilling Co LLC,James Pepper Distilling Co,1228 Manchester St,,Lexington,KY,40508-0000
19200,Distiller,Class B,Bluegrass Distillers LLC,Bluegrass Distillers,501 W Sixth St Ste 165,,Lexington,KY,40508-0000-0000
25821,Distiller,Class B,Kentucky Mist Distillery Lexington LLC,Kentucky Mist Distillery,105 Summit At Fritz Farm Ste 110,,Lexington,KY,40517-0000
19189,Distiller,Class B,Whiskey Thief Distilling Company Inc,Whiskey Thief Distilling Company,283 Crab Orchard Rd,,Frankfort,KY,40601-9185
21537,Distiller,Class B,Glenns Creek Distilling LLC,Glenns Creek Distilling LLC,3501 Mccracken Pike,,Frankfort,KY,40601-9231
11915,Distiller,Class B,Jamieson's Distillery Inc,Fulton County Distillery,3855 Kentucky Hwy 125,,Hickman,KY,42050-0000
24096,Distiller - NQ3 by the drink,Class B,Neeley Family Distilling LLC,Neeley Family Distillery,4360 Ky Highway 1130,,Sparta,KY,41083-9454
23282,Distiller,Class B,Boundary Oak Distillery LLC,Boundary Oak Distillery,2000 Boundary Oak Dr,,Radcliff,KY,40160-8193
26316,Distiller,Class B,Meadowbrook Estates LLC,Old Blue Ribbon Farm,2283 Ballardsville Rd,,Eminence,KY,40019-0000
26272,Distiller,Class B,Michters Distillery LLC,Michters Distillery LLC,801 W Main St,,Louisville,KY,40202-0000
17012,Distiller,Class B,Distilled Spirits Epicenter LLC,Grease Monkey Distillery,801 S 8th St,Ste B,Louisville,KY,40203-2024
4072,Distiller,Class B,R Keith Hazelbaker Ventures Inc,PCS Distilling Company,436 Baxter Ave,,Louisville,KY,40204-1146
27502,Distiller,Class B,Distillery America LLC,Distillery America,1110 Wilson Ave,,Louisville,KY,40210-0000
24783,Distiller,Class B,Barrell Craft Spirits LLC,Barrell Craft Spirits Distillery,3311 Gilmore Ind Blvd Ste 3,,Louisville,KY,40213-0000
5854,Small Farm Winery,Class B,Chrisman Mill Vineyards Inc,Chrisman Mill Vineyards,2385 Chrisman Mill Rd,,Nicholasville,KY,40356-0000
20492,Distiller,Class B,Second Sight Spirits LLC,Second Sight Spirits,301 B Elm St,,Ludlow,KY,41016-0000
21414,Distiller,Class B,Kentucky Mist Moonshine Inc,Kentucky Mist Moonshine,128 E Main St,,Whitesburg,KY,41858-0000
20436,Distiller,Class B,Wadelyn Ranch Distilling LLC,Wadelyn Ranch Distilling,383 Clydesdale Rd,,Waynesburg,KY,40489-7900
25615,Distiller,Class B,Tyler Wood White Whiskey LLC,Tyler Wood White Whiskey,103 White Whiskey Rd,,Lewisburg,KY,42256-0000
15766,Distiller,Class B,Limestone Branch Distillery LLC,Limestone Branch Distillery,1280 Veterans Memorial Hwy,,Lebanon,KY,40033-1095
16601,Distiller,Class B,The Old Pogue Distillery LLC,Old Pogue,716 W 2nd St,,Maysville,KY,41056-9777
18917,Distiller,Class B,Silent Brigade Distillery Inc,Silent Brigade Distillery,426 Broadway St,,Paducah,KY,42001-0734
19095,Distiller,Class B,Paducah Distilled Spirits LLC,Paducah Distilled Spirits,407 Jefferson St,,Paducah,KY,42001-4336
20714,Distiller,Class B,Heritage Tobacco Group LLC,Olde Towne Distillery,551 Tapp Rd Ste 3,,Harrodsburg,KY,40330-0000
25474,Distiller,Class B,C&K Distillery LLC,Coal Pick Distillery,1825 Log Creek Lane,,Drakesboro,KY,42337-0000
13735,Distiller,Class B,Preservation Distillery LLC,Whiskeycraft,426 Sutherland Rd,,Bardstown,KY,40004-0000
24613,Distiller - NQ3 by the drink,Class B,Alltech's Beverage Division LLC,Dueling Barrels Brewing Company,745 Hambley Blvd,,Pikeville,KY,41501-0000
23470,Distiller,Class B,Pauley Hollow Distillery LLC,Pauley Hollow Distillery LLC,91 Kate Camp Br,,Forest Hills,KY,41527-8405
22937,Distiller,Class B,Bourbon 30 Spirits LLC,Bourbon 30 Spirits LLC,130 S Water St,,Georgetown,KY,40324-1361
23536,Distiller,Class B,Rut 'N Strut Distillery LLC,Jeptha Creed Distillery,500 Gordon Ln,,Shelbyville,KY,40065-8269
20309,Distiller,Class B,Dueling Grounds Distillery LLC,Dueling Grounds Distillery LLC,208 Harding Rd,,Franklin,KY,42134-2303
26637,Distiller,Class B,Saddlestone Distillery LLC,Saddlestone Distillery,1280 Moores Mill Rd,Distillery Building,Midway,KY,40347-0000